OBJECTID,study_id,site_id,number_sites,latitude_decimal,longitude_decimal,biome_IGBP,Gridded_IGBP,Biome,Biome_rough,Extracted_IGBP_Biome,forest_type,mat_c,map_mm,elevation_asl_m,data_type,pub_year,ref,collected_by,notes,Field16,Biome_decription_from_paper,Extracted_USDA_soil_taxonomy_suborders,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_IGBP_Biome,N_Dep1,DtB1,Elevation,Roughness,Slope,Extracted_Seasonality,ExtractBNF1,ExtractNloss1
245,150,150.1,3,22.12,88.86,mangrove,Cropland,Mangrove,Permanent Wetlands,12,,ND,ND,ND,field flux,2020,"Padhy, S., P. Bhattacharyya, P. Dash, C. Reddy, A. Chakraborty, and H. Pathak. 2020. Seasonal fluctuation in three mode of greenhouse gases emission in relation to soil labile carbon pools in degraded mangrove, Sundarban, India. SCIENCE OF THE TOTAL ENVIRONMENT 705.",CF,,,mangrove,,1813.119019,26.54557419,1024.276245,62,290,317,565.8875122,-0.466594786,3.39340806,0.354699999,12,4707.259766,,3,2,0.110790431,98.48208618,,
216,129,129.7,1,9.63,0.98,"""wooded grassland""",Grasslands,Woody Savannas,Savannas,10,ND,26-34,1200,ND,field flux,2003,"Andersson, M., A. Kjoller, and S. Struwe. 2003. Soil emissions of nitrous oxide in fire-prone African savannas. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 108.",CF,,,"""wooded grassland""",82,1248.738037,27.69684601,1033.785767,61,199,156,332.6374817,-0.558946192,3.311996937,0.355800003,10,1301,9321,236.5,17.5,1.701559067,89.29981232,7.814969063,4.436476707
421,259,259.1,2,10.27,99.15,mangrove,Permanent Wetlands,Mangrove,Permanent Wetlands,11,,ND,1800,ND,field flux,2002,"Alongi, .D., Trott, .L., Wattayakorn, .G. et al. Below-ground nitrogen cycling in relation to net canopy production in mangrove forests of southern Thailand. Marine Biology 140, 855–864 (2002). https://doi.org/10.1007/s00227-001-0757-6",SL,,,a R. apiculata stand,90,2097.238037,27.74386978,1312.709473,54,454,419,,-0.813679874,5.795384407,0.359800011,11,356.1700134,3741,7,3.5,0.2187583,57.44956589,,
169,100,100.1,1,20.85,-89.58,deciduous broadleaf tropical forests,Deciduous Broadleaf Forests,DBF,DBF,4,ND,26.6,993,22,lab flux,2014,"Bejarano, M., J. Etchevers, G. Ruiz-Suarez, and J. Campo. 2014. The effects of increased N input on soil C and N dynamics in seasonally dry tropical forests: An experimental approach. APPLIED SOIL ECOLOGY 73:105–115.",CF,,,*deciduous broadleaf tropical forests,75,1081.104736,26.56103134,954.8237915,75,763,755,1027.324585,-1.050460577,4.332559586,0.364899993,4,658.1199951,0,15,3.5,0.241553068,72.463974,,
301,185,185.1,1,-2.54,113.01,wetland,Woody Savannas,Permanent Wetlands,Permanent Wetlands,8,Secondary,26,3016,ND,field flux,2019,"Murdiyarso, D., M. Saragi-Sasmito, and A. Rustini. 2019. Greenhouse gas emissions in restored secondary tropical peat swamp forests. MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE 24:507–520.",JVO,,,wetland,11,2593.25708,27.38789749,1223.519043,47,2189,349,591.5344238,-1.224200606,7.845879078,0.377900004,8,904.0300293,3372,8,3.5,0.202190563,29.1237011,,
345,210,210.1,1,-18.3,19.25,"""semiarid savanna""",Grasslands,Savannas,Savannas,10,ND,22.6,527,,microbial,2015,"Braker, G., D. Matthies, M. Hannig, F. Brandt, K. Brenzinger, and A. Grongroft. 2015. Impact of Land Use Management and Soil Properties on Denitrifier Communities of Namibian Savannas. MICROBIAL ECOLOGY 70:981–992.",JVO,,,"""semiarid savanna""",97,661.0761719,23.32476234,594.0428467,70,70,87,288.9422913,-0.214394644,1.926384091,0.386900008,10,479.5299988,579,1165,2,0.1383553,112.751503,4.966832161,3.428915262
390,238,238.1,1,-13.85,131.3,savanna,Grasslands,Grassland,Grassland,10,,19.6-34.2,1177,ND,field flux,2012,"Grover, S., S. Livesley, L. Hutley, H. Jamali, B. Fest, J. Beringer, K. Butterbach-Bahl, and S. Arndt. 2012. Land use change and the impact on greenhouse gas exchange in north Australian savanna soils. BIOGEOSCIENCES 9:423–437.",CF,*coordinates determiend using google search of site,,savanna,32,1219.052368,27.6284523,1012.014282,65,115,77,362.3583069,-0.330373883,2.569106102,0.427599996,10,164.1999969,3389,76,6,0.525917649,112.8896332,,
391,238,238.2,2,-13.85,131.3,savanna/pasture,Grasslands,Grassland,Grassland,10,,19.6-34.3,1177,ND,field flux,2012,"Grover, S., S. Livesley, L. Hutley, H. Jamali, B. Fest, J. Beringer, K. Butterbach-Bahl, and S. Arndt. 2012. Land use change and the impact on greenhouse gas exchange in north Australian savanna soils. BIOGEOSCIENCES 9:423–437.",CF,*coordinates determiend using google search of site,,savanna/pasture,32,1219.052368,27.6284523,1012.014282,65,115,77,362.3583069,-0.330373883,2.569106102,0.427599996,10,164.1999969,3389,76,6,0.525917649,112.8896332,,
193,115,115.3,1,23.19,112.56,evergreen broadleaf tropical forest,Savannas,EBF,EBF,9,Primary,21.4,1927,250-350,field flux,2006,"Tang, X., S. Liu, G. Zhou, D. Zhang, and C. Zhou. 2006. Soil-atmospheric exchange of CO2, CH4, and N2O in three subtropical forest ecosystems in southern China. GLOBAL CHANGE BIOLOGY 12:546–560.",CF,*coordinates super vague only a range was given,,evergreen broadleaf tropical forest,95,1743.009521,22.49127007,1039.523804,49,401,345,568.663208,-0.953837276,5.60710001,0.440899998,9,,3269,5,5.5,0.451294392,65.8800354,4.595430374,5.257109165
405,245,245.1,2,9.38,-66.25,tropical woodland savanna,Grasslands,Woody Savannas,Savannas,10,,ND,1000,ND,field flux,1988,"Johansson, C., & Sanhueza, E. (1988). Emission of NO from savanna soils during rainy season. Journal of Geophysical Research, 93(D11), 14193",SL,*2 locations 0.5km apart,,"""woodland savanna""",44,1013.723816,26.99529648,904.8285522,60,181,180,455.5332031,-0.48410207,3.357834578,0.4551,10,1743.349976,7323,204,21,1.926150322,83.84526062,15.68314171,8.834008217
