Lat,Long,PresAbs,Type
19.75,-155.25,1,Denit
19.75,-155.25,1,Denit
10.1667,-84.5666,1,Denit
13.5333,2.7,1,Denit
-3.25,-59.9667,1,Denit
23.16,112.16,1,Denit
10.4314,-84.0081,1,Denit
19.8199,-155.8461,1,Denit
19.8244,-155.9939,1,Denit
19.5684,-155.305,1,Denit
19.8991,-155.6674,1,Denit
19.3854,-155.184,1,Denit
19.7355,-155.3079,1,Denit
22.122,-159.62,1,Denit
20.14,-155.7,1,Denit
21.1086,-156.8658,1,Denit
19.7098,-155.4113,1,Denit
21.1086,-156.8658,1,Denit
19.7098,-155.4113,1,Denit
19.9257,-155.2775,1,Denit
22.164,-159.659,1,Denit
-23,16,1,Denit
-23,16,1,Denit
-23,16,1,Denit
19.75,-155.25,1,Denit
22.1396,-159.6394,1,Denit
5.2167,-58.0667,1,Denit
10.8373,-85.7068,1,Denit
10.8373,-85.7068,1,Denit
10.3832,-85.3339,1,Denit
-0.65,35.57,1,Denit
17.9152,-93.6411,1,Denit
17.9152,-93.6411,1,Denit
17.9152,-93.6411,1,Denit
-5.7167,38.7833,1,Denit
-4.8,11.9,1,Denit
5.2742,-61.1222,1,Denit
5.7167,-61.5833,1,Denit
-13,-41.35,1,Denit
15,-14,1,Denit
15,-14,1,Denit
15,-14,1,Denit
5.2788,-3.885,1,Denit
14.9995,-17.0052,1,Denit
14.8402,-17.2341,1,Denit
10.4244,-67.772,1,Denit
15.0878,-23.6131,1,Denit
-22.7667,-43.6833,1,Denit
-23.0333,-48.6333,1,Denit
-23.0333,-48.6333,1,Denit
19.9333,95.9333,1,Denit
-6.5928,106.8056,1,Denit
14.154,121.2256,1,Denit
23.1667,112.1667,1,Denit
22.5167,113.0833,1,Denit
23.1667,112.1667,1,Denit
-5.2,-38.4833,1,Denit
-7.983,-38.3,1,Denit
-6.867,-35.783,1,Denit
18.45,-66.167,1,Denit
9.433,-84.15,1,Denit
9.72,-83.62,1,Denit
16.042,-61.663,1,Denit
17.833,-15.25,1,Denit
16.583,-14.25,1,Denit
17.583,-12.833,1,Denit
19.29,-155.55,1,Denit
8.71,-83.23,1,Denit
16.05,-61.67,1,Denit
16.05,-61.67,1,Denit
16.05,-61.67,1,Denit
10.4041,-84.0256,1,Denit
10.4041,-84.0256,1,Denit
8.41,77.41,1,Denit
8.41,77.41,1,Denit
